Order ID	Order Date	Ship Date	Ship Mode	Customer ID	Customer Name	Segment	Country	State	Region	Product ID	Category	Sub-Category	Product Name	Sales	Quantity	Profit	Returns	Payment Mode
CA-2019-160304	1/1/2019	7/1/2019	Standard Class	BM-11575	Brendan Murry	Corporate	United States	Maryland	East	FUR-BO-10004709	Furniture	Bookcases	"Bush Westfield Collection Bookcases, Medium Cherry Finish"	73.94	1	28.27	0	Online
CA-2019-160304	2/1/2019	7/1/2019	Standard Class	BM-11575	Brendan Murry	Corporate	United States	Maryland	East	FUR-BO-10004709	Furniture	Bookcases	"Bush Westfield Collection Bookcases, Medium Cherry Finish"	173.94	3	38.27	0	Online
CA-2019-160304	2/1/2019	7/1/2019	Standard Class	BM-11575	Brendan Murry	Corporate	United States	Maryland	East	TEC-PH-10000455	Technology	Phones	GE 30522EE2	231.98	2	67.27	0	Cards
CA-2019-125206	3/1/2019	5/1/2019	First Class	LR-16915	Lena Radford	Consumer	United States	California	West	OFF-ST-10003692	Office Supplies	Storage	Recycled Steel Personal File for Hanging File Folders	114.46	2	28.62	0	Online
US-2019-116365	3/1/2019	8/1/2019	Standard Class	CA-12310	Christine Abelman	Corporate	United States	Texas	Central	TEC-AC-10002217	Technology	Accessories	Imation Clip USB flash drive - 8 GB	30.08	2	-5.26	0	Online
US-2019-116365	3/1/2019	8/1/2019	Standard Class	CA-12310	Christine Abelman	Corporate	United States	Texas	Central	TEC-AC-10002942	Technology	Accessories	WD My Passport Ultra 1TB Portable External Hard Drive	165.6	3	-6.21	0	Online
US-2019-116365	3/1/2019	8/1/2019	Standard Class	CA-12310	Christine Abelman	Corporate	United States	Texas	Central	TEC-PH-10002890	Technology	Phones	AT&T 17929 Lendline Telephone	180.96	5	13.57	0	Cards
CA-2019-105207	3/1/2019	8/1/2019	Standard Class	BO-11350	Bill Overfelt	Corporate	United States	Oklahoma	Central	FUR-TA-10000617	Furniture	Tables	"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal"	1592.85	7	350.43	0	COD
CA-2019-105207	3/1/2019	8/1/2019	Standard Class	BO-11350	Bill Overfelt	Corporate	United States	Oklahoma	Central	OFF-BI-10004364	Office Supplies	Binders	Storex Dura Pro Binders	11.88	2	5.35	0	COD
US-2019-164630	4/1/2019	9/1/2019	Standard Class	EB-13975	Erica Bern	Corporate	United States	North Carolina	South	TEC-CO-10000971	Technology	Copiers	Hewlett Packard 310 Color Digital Copier	959.97	4	120	0	Online
CA-2019-158211	4/1/2019	8/1/2019	Standard Class	BP-11185	Ben Peterman	Corporate	United States	Pennsylvania	East	OFF-AR-10004078	Office Supplies	Art	Newell 312	4.67	1	0.58	0	Online
CA-2019-158211	4/1/2019	8/1/2019	Standard Class	BP-11185	Ben Peterman	Corporate	United States	Pennsylvania	East	OFF-BI-10002026	Office Supplies	Binders	Avery Arch Ring Binders	104.58	6	-80.18	0	Online
CA-2019-134474	5/1/2019	7/1/2019	Second Class	AJ-10795	Anthony Johnson	Corporate	United States	Florida	South	TEC-AC-10001714	Technology	Accessories	Logitech MX Performance Wireless Mouse	191.47	6	40.69	0	COD
CA-2019-134474	5/1/2019	7/1/2019	Second Class	AJ-10795	Anthony Johnson	Corporate	United States	Florida	South	OFF-AR-10003958	Office Supplies	Art	Newell 337	5.25	2	0.59	0	Online
CA-2019-134474	5/1/2019	7/1/2019	Second Class	AJ-10795	Anthony Johnson	Corporate	United States	Florida	South	TEC-PH-10002923	Technology	Phones	"Logitech B530 USB Headset - headset - Full size, Binaural"	59.18	2	5.18	0	COD
CA-2019-101938	7/1/2019	12/1/2019	Standard Class	DW-13480	Dianna Wilson	Home Office	United States	California	West	OFF-AR-10003696	Office Supplies	Art	Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop	34.58	1	10.03	0	COD
CA-2019-158806	7/1/2019	11/1/2019	Standard Class	NM-18520	Neoma Murray	Consumer	United States	Texas	Central	FUR-FU-10004270	Furniture	Furnishings	"Executive Impressions 13"" Clairmont Wall Clock"	23.08	3	-10.96	0	COD
CA-2019-158806	7/1/2019	11/1/2019	Standard Class	NM-18520	Neoma Murray	Consumer	United States	Texas	Central	OFF-PA-10004621	Office Supplies	Paper	Xerox 212	25.92	5	9.07	0	Cards
US-2019-100461	8/1/2019	12/1/2019	Standard Class	JO-15145	Jack O'Briant	Corporate	United States	Wisconsin	Central	FUR-BO-10002545	Furniture	Bookcases	"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"	1565.88	6	407.13	0	Online
